country_code,iso_a3,country_name,region,subregion,lon,lat
004,AFG,Afghanistan,Asia,Southern Asia,65.31466607059578,33.83265096692826
008,ALB,Albania,Europe,Southern Europe,19.967590031898183,41.24789602311034
012,DZA,Algeria,Africa,Northern Africa,0.5262737270331161,27.916216233831705
024,AGO,Angola,Africa,Middle Africa,18.809785862734245,-11.880463148651746
010,ATA,Antarctica,Antarctica,Antarctica,67.37414934736887,-76.65407969172705
032,ARG,Argentina,Americas,South America,-64.08055162984822,-37.23919951756829
051,ARM,Armenia,Asia,Western Asia,45.063666574798575,39.95249705663373
036,AUS,Australia,Oceania,Australia and New Zealand,133.05858125705473,-24.841454969992654
040,AUT,Austria,Europe,Western Europe,14.953149823900707,47.91918132180231
031,AZE,Azerbaijan,Asia,Western Asia,47.63524399042388,40.038047390292924
050,BGD,Bangladesh,Asia,Southern Asia,89.87623895192834,23.563936672453586
112,BLR,Belarus,Europe,Eastern Europe,27.78641113896777,53.70603740092703
056,BEL,Belgium,Europe,Western Europe,4.73735646239664,50.579677842809055
084,BLZ,Belize,Americas,Central America,-88.69909241259556,17.31058451992206
204,BEN,Benin,Africa,Western Africa,2.2853251244784065,9.236116136100705
064,BTN,Bhutan,Asia,Southern Asia,90.49641834687333,27.612177944442436
068,BOL,Bolivia,Americas,South America,-63.638941069686545,-16.40013559333128
070,BIH,Bosnia and Herzegovina,Europe,Southern Europe,18.115159909331382,43.853096239912816
072,BWA,Botswana,Africa,Southern Africa,24.310117396284035,-22.459533176363333
076,BRA,Brazil,Americas,South America,-49.71162179067407,-14.073688449767289
096,BRN,Brunei,Asia,South-Eastern Asia,114.892796484506,4.712942613133386
100,BGR,Bulgaria,Europe,Eastern Europe,25.138533162759185,42.73941996924254
854,BFA,Burkina Faso,Africa,Western Africa,-1.2756293256470332,12.241397813358816
108,BDI,Burundi,Africa,Eastern Africa,29.957121218671926,-3.463944999999967
116,KHM,Cambodia,Asia,South-Eastern Asia,104.99873191118384,12.865726630093086
120,CMR,Cameroon,Africa,Middle Africa,13.491598238352434,7.2262000594325
124,CAN,Canada,Americas,Northern America,-110.24380777716146,56.70192
140,CAF,Central African Republic,Africa,Middle Africa,20.47874046996474,6.7629596012600715
148,TCD,Chad,Africa,Middle Africa,18.306714088939955,15.277565000000067
