territory_id,territory_name,year,population,source_indicator
01,Andalucía,1998,7236459,INE 02003
01,Andalucía,1999,7305117,INE 02003
01,Andalucía,2000,7340052,INE 02003
01,Andalucía,2001,7403968,INE 02003
01,Andalucía,2002,7478432,INE 02003
01,Andalucía,2003,7606848,INE 02003
01,Andalucía,2004,7687518,INE 02003
01,Andalucía,2005,7849799,INE 02003
01,Andalucía,2006,7975672,INE 02003
01,Andalucía,2007,8059461,INE 02003
01,Andalucía,2008,8202220,INE 02003
01,Andalucía,2009,8302923,INE 02003
01,Andalucía,2010,8370975,INE 02003
01,Andalucía,2011,8424102,INE 02003
01,Andalucía,2012,8449985,INE 02003
01,Andalucía,2013,8440300,INE 02003
01,Andalucía,2014,8402305,INE 02003
01,Andalucía,2015,8399043,INE 02003
01,Andalucía,2016,8388107,INE 02003
01,Andalucía,2017,8379820,INE 02003
01,Andalucía,2018,8384408,INE 02003
01,Andalucía,2019,8414240,INE 02003
01,Andalucía,2020,8464411,INE 02003
01,Andalucía,2021,8472407,INE 02003
01,Andalucía,2022,8500187,INE 02003
02,Aragón,1998,1183234,INE 02003
02,Aragón,1999,1186849,INE 02003
02,Aragón,2000,1189909,INE 02003
02,Aragón,2001,1199753,INE 02003
02,Aragón,2002,1217514,INE 02003
02,Aragón,2003,1230090,INE 02003
02,Aragón,2004,1249584,INE 02003
02,Aragón,2005,1269027,INE 02003
02,Aragón,2006,1277471,INE 02003
02,Aragón,2007,1296655,INE 02003
02,Aragón,2008,1326918,INE 02003
02,Aragón,2009,1345473,INE 02003
02,Aragón,2010,1347095,INE 02003
02,Aragón,2011,1346293,INE 02003
02,Aragón,2012,1349467,INE 02003
02,Aragón,2013,1347150,INE 02003
02,Aragón,2014,1325385,INE 02003
02,Aragón,2015,1317847,INE 02003
02,Aragón,2016,1308563,INE 02003
02,Aragón,2017,1308750,INE 02003
02,Aragón,2018,1308728,INE 02003
02,Aragón,2019,1319291,INE 02003
02,Aragón,2020,1329391,INE 02003
02,Aragón,2021,1326261,INE 02003
02,Aragón,2022,1326315,INE 02003
03,Principado de Asturias,1998,1081834,INE 02003
03,Principado de Asturias,1999,1084314,INE 02003
03,Principado de Asturias,2000,1076567,INE 02003
03,Principado de Asturias,2001,1075329,INE 02003
03,Principado de Asturias,2002,1073971,INE 02003
03,Principado de Asturias,2003,1075381,INE 02003
03,Principado de Asturias,2004,1073761,INE 02003
03,Principado de Asturias,2005,1076635,INE 02003
03,Principado de Asturias,2006,1076896,INE 02003
03,Principado de Asturias,2007,1074862,INE 02003
03,Principado de Asturias,2008,1080138,INE 02003
03,Principado de Asturias,2009,1085289,INE 02003
03,Principado de Asturias,2010,1084341,INE 02003
03,Principado de Asturias,2011,1081487,INE 02003
03,Principado de Asturias,2012,1077360,INE 02003
03,Principado de Asturias,2013,1068165,INE 02003
03,Principado de Asturias,2014,1061756,INE 02003
03,Principado de Asturias,2015,1051229,INE 02003
03,Principado de Asturias,2016,1042608,INE 02003
03,Principado de Asturias,2017,1034960,INE 02003
03,Principado de Asturias,2018,1028244,INE 02003
03,Principado de Asturias,2019,1022800,INE 02003
03,Principado de Asturias,2020,1018784,INE 02003
03,Principado de Asturias,2021,1011792,INE 02003
03,Principado de Asturias,2022,1004686,INE 02003
04,Illes Balears,1998,796483,INE 02003
04,Illes Balears,1999,821820,INE 02003
04,Illes Balears,2000,845630,INE 02003
04,Illes Balears,2001,878627,INE 02003
04,Illes Balears,2002,916968,INE 02003
04,Illes Balears,2003,947361,INE 02003
04,Illes Balears,2004,955045,INE 02003
04,Illes Balears,2005,983131,INE 02003
04,Illes Balears,2006,1001062,INE 02003
04,Illes Balears,2007,1030650,INE 02003
04,Illes Balears,2008,1072844,INE 02003
04,Illes Balears,2009,1095426,INE 02003
04,Illes Balears,2010,1106049,INE 02003
04,Illes Balears,2011,1113114,INE 02003
04,Illes Balears,2012,1119439,INE 02003
04,Illes Balears,2013,1111674,INE 02003
04,Illes Balears,2014,1103442,INE 02003
04,Illes Balears,2015,1104479,INE 02003
04,Illes Balears,2016,1107220,INE 02003
04,Illes Balears,2017,1115999,INE 02003
