territory_id,territory_name,rail_year,rail_km_total,rail_km_high_speed,rail_km_other
01,Andalucía,1848,0.0,0.0,0.0
02,Aragón,1848,0.0,0.0,0.0
03,Principado de Asturias,1848,0.0,0.0,0.0
04,Illes Balears,1848,0.0,0.0,0.0
05,Canarias,1848,0.0,0.0,0.0
06,Cantabria,1848,0.0,0.0,0.0
07,Castilla y León,1848,0.0,0.0,0.0
08,Castilla-La Mancha,1848,0.0,0.0,0.0
09,Cataluña,1848,27.646489268643222,0.0,27.646489268643222
10,Comunitat Valenciana,1848,0.0,0.0,0.0
11,Extremadura,1848,0.0,0.0,0.0
12,Galicia,1848,0.0,0.0,0.0
13,Comunidad de Madrid,1848,0.0,0.0,0.0
14,Región de Murcia,1848,0.0,0.0,0.0
15,Comunidad Foral de Navarra,1848,0.0,0.0,0.0
16,País Vasco,1848,0.0,0.0,0.0
17,La Rioja,1848,0.0,0.0,0.0
18,Ceuta,1848,0.0,0.0,0.0
19,Melilla,1848,0.0,0.0,0.0
01,Andalucía,1849,0.0,0.0,0.0
02,Aragón,1849,0.0,0.0,0.0
03,Principado de Asturias,1849,0.0,0.0,0.0
04,Illes Balears,1849,0.0,0.0,0.0
05,Canarias,1849,0.0,0.0,0.0
06,Cantabria,1849,0.0,0.0,0.0
07,Castilla y León,1849,0.0,0.0,0.0
08,Castilla-La Mancha,1849,0.0,0.0,0.0
09,Cataluña,1849,27.646489268643222,0.0,27.646489268643222
10,Comunitat Valenciana,1849,0.0,0.0,0.0
11,Extremadura,1849,0.0,0.0,0.0
12,Galicia,1849,0.0,0.0,0.0
13,Comunidad de Madrid,1849,0.0,0.0,0.0
14,Región de Murcia,1849,0.0,0.0,0.0
15,Comunidad Foral de Navarra,1849,0.0,0.0,0.0
16,País Vasco,1849,0.0,0.0,0.0
17,La Rioja,1849,0.0,0.0,0.0
18,Ceuta,1849,0.0,0.0,0.0
19,Melilla,1849,0.0,0.0,0.0
01,Andalucía,1850,0.0,0.0,0.0
02,Aragón,1850,0.0,0.0,0.0
03,Principado de Asturias,1850,0.0,0.0,0.0
04,Illes Balears,1850,0.0,0.0,0.0
05,Canarias,1850,0.0,0.0,0.0
06,Cantabria,1850,0.0,0.0,0.0
07,Castilla y León,1850,0.0,0.0,0.0
08,Castilla-La Mancha,1850,0.0,0.0,0.0
09,Cataluña,1850,27.646489268643222,0.0,27.646489268643222
10,Comunitat Valenciana,1850,0.0,0.0,0.0
11,Extremadura,1850,0.0,0.0,0.0
12,Galicia,1850,0.0,0.0,0.0
13,Comunidad de Madrid,1850,0.0,0.0,0.0
14,Región de Murcia,1850,0.0,0.0,0.0
15,Comunidad Foral de Navarra,1850,0.0,0.0,0.0
16,País Vasco,1850,0.0,0.0,0.0
17,La Rioja,1850,0.0,0.0,0.0
18,Ceuta,1850,0.0,0.0,0.0
19,Melilla,1850,0.0,0.0,0.0
01,Andalucía,1851,0.0,0.0,0.0
02,Aragón,1851,0.0,0.0,0.0
03,Principado de Asturias,1851,0.0,0.0,0.0
04,Illes Balears,1851,0.0,0.0,0.0
05,Canarias,1851,0.0,0.0,0.0
06,Cantabria,1851,0.0,0.0,0.0
07,Castilla y León,1851,0.0,0.0,0.0
08,Castilla-La Mancha,1851,7.264179356718211,0.0,7.264179356718211
09,Cataluña,1851,27.646489268643222,0.0,27.646489268643222
10,Comunitat Valenciana,1851,0.0,0.0,0.0
11,Extremadura,1851,0.0,0.0,0.0
12,Galicia,1851,0.0,0.0,0.0
13,Comunidad de Madrid,1851,39.071536517546974,0.0,39.071536517546974
14,Región de Murcia,1851,0.0,0.0,0.0
15,Comunidad Foral de Navarra,1851,0.0,0.0,0.0
16,País Vasco,1851,0.0,0.0,0.0
17,La Rioja,1851,0.0,0.0,0.0
18,Ceuta,1851,0.0,0.0,0.0
19,Melilla,1851,0.0,0.0,0.0
01,Andalucía,1852,0.0,0.0,0.0
02,Aragón,1852,0.0,0.0,0.0
03,Principado de Asturias,1852,16.39909319235641,0.0,16.39909319235641
04,Illes Balears,1852,0.0,0.0,0.0
05,Canarias,1852,0.0,0.0,0.0
06,Cantabria,1852,0.0,0.0,0.0
07,Castilla y León,1852,0.0,0.0,0.0
08,Castilla-La Mancha,1852,7.264179356718211,0.0,7.264179356718211
09,Cataluña,1852,27.646489268643222,0.0,27.646489268643222
10,Comunitat Valenciana,1852,28.01206788653527,0.0,28.01206788653527
11,Extremadura,1852,0.0,0.0,0.0
12,Galicia,1852,0.0,0.0,0.0
13,Comunidad de Madrid,1852,39.071536517546974,0.0,39.071536517546974
14,Región de Murcia,1852,0.0,0.0,0.0
15,Comunidad Foral de Navarra,1852,0.0,0.0,0.0
16,País Vasco,1852,0.0,0.0,0.0
17,La Rioja,1852,0.0,0.0,0.0
18,Ceuta,1852,0.0,0.0,0.0
19,Melilla,1852,0.0,0.0,0.0
01,Andalucía,1853,0.0,0.0,0.0
02,Aragón,1853,0.0,0.0,0.0
03,Principado de Asturias,1853,33.11322596915875,0.0,33.11322596915875
04,Illes Balears,1853,0.0,0.0,0.0
05,Canarias,1853,0.0,0.0,0.0
06,Cantabria,1853,0.0,0.0,0.0
07,Castilla y León,1853,0.0,0.0,0.0
08,Castilla-La Mancha,1853,48.79974499643245,0.0,48.79974499643245
09,Cataluña,1853,27.646489268643222,0.0,27.646489268643222
10,Comunitat Valenciana,1853,33.83246812859347,0.0,33.83246812859347
11,Extremadura,1853,0.0,0.0,0.0
12,Galicia,1853,0.0,0.0,0.0
13,Comunidad de Madrid,1853,54.067653034153324,0.0,54.067653034153324
14,Región de Murcia,1853,0.0,0.0,0.0
15,Comunidad Foral de Navarra,1853,0.0,0.0,0.0
16,País Vasco,1853,0.0,0.0,0.0
17,La Rioja,1853,0.0,0.0,0.0
18,Ceuta,1853,0.0,0.0,0.0
19,Melilla,1853,0.0,0.0,0.0
01,Andalucía,1854,24.01453297766791,0.0,24.01453297766791
02,Aragón,1854,0.0,0.0,0.0
03,Principado de Asturias,1854,41.08690874449524,0.0,41.08690874449524
04,Illes Balears,1854,0.0,0.0,0.0
05,Canarias,1854,0.0,0.0,0.0
06,Cantabria,1854,0.0,0.0,0.0
07,Castilla y León,1854,0.0,0.0,0.0
08,Castilla-La Mancha,1854,67.63078947731712,0.0,67.63078947731712
09,Cataluña,1854,88.30353733456862,0.0,88.30353733456862
10,Comunitat Valenciana,1854,57.15313779340694,0.0,57.15313779340694
11,Extremadura,1854,0.0,0.0,0.0
12,Galicia,1854,0.0,0.0,0.0
13,Comunidad de Madrid,1854,54.067653034153324,0.0,54.067653034153324
14,Región de Murcia,1854,0.0,0.0,0.0
15,Comunidad Foral de Navarra,1854,0.0,0.0,0.0
16,País Vasco,1854,0.0,0.0,0.0
17,La Rioja,1854,0.0,0.0,0.0
18,Ceuta,1854,0.0,0.0,0.0
19,Melilla,1854,0.0,0.0,0.0
01,Andalucía,1855,24.01453297766791,0.0,24.01453297766791
02,Aragón,1855,0.0,0.0,0.0
03,Principado de Asturias,1855,41.08690874449524,0.0,41.08690874449524
04,Illes Balears,1855,0.0,0.0,0.0
05,Canarias,1855,0.0,0.0,0.0
06,Cantabria,1855,0.0,0.0,0.0
07,Castilla y León,1855,0.0,0.0,0.0
08,Castilla-La Mancha,1855,216.33095759987182,0.0,216.33095759987182
09,Cataluña,1855,102.15343076602504,0.0,102.15343076602504
10,Comunitat Valenciana,1855,57.15313779340694,0.0,57.15313779340694
11,Extremadura,1855,0.0,0.0,0.0
12,Galicia,1855,0.0,0.0,0.0
13,Comunidad de Madrid,1855,54.067653034153324,0.0,54.067653034153324
14,Región de Murcia,1855,0.0,0.0,0.0
15,Comunidad Foral de Navarra,1855,0.0,0.0,0.0
16,País Vasco,1855,0.0,0.0,0.0
17,La Rioja,1855,0.0,0.0,0.0
18,Ceuta,1855,0.0,0.0,0.0
19,Melilla,1855,0.0,0.0,0.0
01,Andalucía,1856,31.08430873332699,0.0,31.08430873332699
02,Aragón,1856,0.0,0.0,0.0
03,Principado de Asturias,1856,41.08690874449524,0.0,41.08690874449524
04,Illes Balears,1856,0.0,0.0,0.0
05,Canarias,1856,0.0,0.0,0.0
06,Cantabria,1856,0.0,0.0,0.0
07,Castilla y León,1856,0.0,0.0,0.0
08,Castilla-La Mancha,1856,216.33095759987182,0.0,216.33095759987182
09,Cataluña,1856,125.57237785143491,0.0,125.57237785143491
10,Comunitat Valenciana,1856,57.15313779340694,0.0,57.15313779340694
11,Extremadura,1856,0.0,0.0,0.0
12,Galicia,1856,0.0,0.0,0.0
13,Comunidad de Madrid,1856,54.067653034153324,0.0,54.067653034153324
14,Región de Murcia,1856,0.0,0.0,0.0
15,Comunidad Foral de Navarra,1856,0.0,0.0,0.0
16,País Vasco,1856,0.0,0.0,0.0
17,La Rioja,1856,0.0,0.0,0.0
18,Ceuta,1856,0.0,0.0,0.0
19,Melilla,1856,0.0,0.0,0.0
01,Andalucía,1857,31.08430873332699,0.0,31.08430873332699
02,Aragón,1857,0.0,0.0,0.0
03,Principado de Asturias,1857,41.08690874449524,0.0,41.08690874449524
04,Illes Balears,1857,0.0,0.0,0.0
05,Canarias,1857,0.0,0.0,0.0
06,Cantabria,1857,24.758234426858845,0.0,24.758234426858845
07,Castilla y León,1857,31.01098645981962,0.0,31.01098645981962
08,Castilla-La Mancha,1857,293.922527692256,0.0,293.922527692256
09,Cataluña,1857,130.3521740497119,0.0,130.3521740497119
10,Comunitat Valenciana,1857,110.49116591816257,0.0,110.49116591816257
11,Extremadura,1857,0.0,0.0,0.0
12,Galicia,1857,0.0,0.0,0.0
13,Comunidad de Madrid,1857,54.067653034153324,0.0,54.067653034153324
14,Región de Murcia,1857,0.0,0.0,0.0
15,Comunidad Foral de Navarra,1857,0.0,0.0,0.0
16,País Vasco,1857,0.0,0.0,0.0
17,La Rioja,1857,0.0,0.0,0.0
18,Ceuta,1857,0.0,0.0,0.0
19,Melilla,1857,0.0,0.0,0.0
01,Andalucía,1858,31.08430873332699,0.0,31.08430873332699
02,Aragón,1858,0.0,0.0,0.0
03,Principado de Asturias,1858,41.08690874449524,0.0,41.08690874449524
04,Illes Balears,1858,0.0,0.0,0.0
05,Canarias,1858,0.0,0.0,0.0
06,Cantabria,1858,59.59947908940059,0.0,59.59947908940059
07,Castilla y León,1858,31.01098645981962,0.0,31.01098645981962
08,Castilla-La Mancha,1858,331.24041708547264,0.0,331.24041708547264
09,Cataluña,1858,130.3521740497119,0.0,130.3521740497119
10,Comunitat Valenciana,1858,179.91768913666635,0.0,179.91768913666635
11,Extremadura,1858,0.0,0.0,0.0
12,Galicia,1858,0.0,0.0,0.0
13,Comunidad de Madrid,1858,66.24140506118498,0.0,66.24140506118498
14,Región de Murcia,1858,0.0,0.0,0.0
15,Comunidad Foral de Navarra,1858,0.0,0.0,0.0
16,País Vasco,1858,0.0,0.0,0.0
17,La Rioja,1858,0.0,0.0,0.0
18,Ceuta,1858,0.0,0.0,0.0
19,Melilla,1858,0.0,0.0,0.0
01,Andalucía,1859,159.33745472118156,0.0,159.33745472118156
02,Aragón,1859,0.0,0.0,0.0
03,Principado de Asturias,1859,41.08690874449524,0.0,41.08690874449524
04,Illes Balears,1859,0.0,0.0,0.0
05,Canarias,1859,0.0,0.0,0.0
06,Cantabria,1859,59.59947908940059,0.0,59.59947908940059
07,Castilla y León,1859,31.01098645981962,0.0,31.01098645981962
08,Castilla-La Mancha,1859,346.2383556230662,0.0,346.2383556230662
09,Cataluña,1859,199.7811836524022,0.0,199.7811836524022
10,Comunitat Valenciana,1859,179.91768913666635,0.0,179.91768913666635
11,Extremadura,1859,0.0,0.0,0.0
12,Galicia,1859,0.0,0.0,0.0
13,Comunidad de Madrid,1859,104.10686394168266,0.0,104.10686394168266
14,Región de Murcia,1859,0.0,0.0,0.0
15,Comunidad Foral de Navarra,1859,0.0,0.0,0.0
16,País Vasco,1859,0.0,0.0,0.0
17,La Rioja,1859,0.0,0.0,0.0
18,Ceuta,1859,0.0,0.0,0.0
19,Melilla,1859,0.0,0.0,0.0
01,Andalucía,1860,259.65606342059084,0.0,259.65606342059084
02,Aragón,1860,0.0,0.0,0.0
03,Principado de Asturias,1860,41.08690874449524,0.0,41.08690874449524
04,Illes Balears,1860,0.0,0.0,0.0
05,Canarias,1860,0.0,0.0,0.0
06,Cantabria,1860,82.55862284559726,0.0,82.55862284559726
07,Castilla y León,1860,359.5434436161641,0.0,359.5434436161641
08,Castilla-La Mancha,1860,466.5831095676856,0.0,466.5831095676856
09,Cataluña,1860,364.7943027840746,0.0,364.7943027840746
10,Comunitat Valenciana,1860,179.91768913666635,0.0,179.91768913666635
11,Extremadura,1860,0.0,0.0,0.0
12,Galicia,1860,0.0,0.0,0.0
13,Comunidad de Madrid,1860,104.10686394168266,0.0,104.10686394168266
14,Región de Murcia,1860,0.0,0.0,0.0
15,Comunidad Foral de Navarra,1860,73.11155491702281,0.0,73.11155491702281
16,País Vasco,1860,0.0,0.0,0.0
17,La Rioja,1860,0.0,0.0,0.0
18,Ceuta,1860,0.0,0.0,0.0
19,Melilla,1860,0.0,0.0,0.0
01,Andalucía,1861,283.98717865364216,0.0,283.98717865364216
02,Aragón,1861,178.48841353091896,0.0,178.48841353091896
03,Principado de Asturias,1861,41.08690874449524,0.0,41.08690874449524
04,Illes Balears,1861,0.0,0.0,0.0
05,Canarias,1861,0.0,0.0,0.0
06,Cantabria,1861,82.55862284559726,0.0,82.55862284559726
07,Castilla y León,1861,388.24078731394576,0.0,388.24078731394576
08,Castilla-La Mancha,1861,508.4655547080248,0.0,508.4655547080248
09,Cataluña,1861,401.43600164875727,0.0,401.43600164875727
10,Comunitat Valenciana,1861,179.91768913666635,0.0,179.91768913666635
11,Extremadura,1861,0.0,0.0,0.0
12,Galicia,1861,0.0,0.0,0.0
13,Comunidad de Madrid,1861,161.42778973704463,0.0,161.42778973704463
14,Región de Murcia,1861,0.0,0.0,0.0
15,Comunidad Foral de Navarra,1861,127.00468802373794,0.0,127.00468802373794
16,País Vasco,1861,7.026729151156519,0.0,7.026729151156519
17,La Rioja,1861,2.5517779461867427,0.0,2.5517779461867427
18,Ceuta,1861,0.0,0.0,0.0
19,Melilla,1861,0.0,0.0,0.0
01,Andalucía,1862,283.98717865364216,0.0,283.98717865364216
02,Aragón,1862,178.48841353091896,0.0,178.48841353091896
03,Principado de Asturias,1862,41.08690874449524,0.0,41.08690874449524
04,Illes Balears,1862,0.0,0.0,0.0
05,Canarias,1862,0.0,0.0,0.0
06,Cantabria,1862,82.55862284559726,0.0,82.55862284559726
07,Castilla y León,1862,473.00440525306675,0.0,473.00440525306675
08,Castilla-La Mancha,1862,588.5819345757618,0.0,588.5819345757618
09,Cataluña,1862,430.07999488830114,0.0,430.07999488830114
10,Comunitat Valenciana,1862,250.66969697701717,0.0,250.66969697701717
11,Extremadura,1862,0.0,0.0,0.0
12,Galicia,1862,0.0,0.0,0.0
13,Comunidad de Madrid,1862,161.42778973704463,0.0,161.42778973704463
14,Región de Murcia,1862,0.0,0.0,0.0
15,Comunidad Foral de Navarra,1862,140.17946459775524,0.0,140.17946459775524
16,País Vasco,1862,59.68668048904439,0.0,59.68668048904439
17,La Rioja,1862,2.5517779461867427,0.0,2.5517779461867427
18,Ceuta,1862,0.0,0.0,0.0
19,Melilla,1862,0.0,0.0,0.0
01,Andalucía,1863,351.6553425910138,0.0,351.6553425910138
02,Aragón,1863,319.1280017953936,0.0,319.1280017953936
03,Principado de Asturias,1863,41.08690874449524,0.0,41.08690874449524
04,Illes Balears,1863,0.0,0.0,0.0
05,Canarias,1863,0.0,0.0,0.0
06,Cantabria,1863,82.55862284559726,0.0,82.55862284559726
07,Castilla y León,1863,654.3925712697544,0.0,654.3925712697544
08,Castilla-La Mancha,1863,588.9886483068741,0.0,588.9886483068741
09,Cataluña,1863,467.55539525425684,0.0,467.55539525425684
10,Comunitat Valenciana,1863,263.07987762524357,0.0,263.07987762524357
11,Extremadura,1863,10.994140676272046,0.0,10.994140676272046
12,Galicia,1863,0.0,0.0,0.0
13,Comunidad de Madrid,1863,184.56789670791574,0.0,184.56789670791574
14,Región de Murcia,1863,61.95007853562866,0.0,61.95007853562866
15,Comunidad Foral de Navarra,1863,149.4307457730538,0.0,149.4307457730538
16,País Vasco,1863,211.33016437355144,0.0,211.33016437355144
17,La Rioja,1863,115.69415766275554,0.0,115.69415766275554
